20060922,TUSCHY,3913,15,14,-9999,-9999,-9999,1556,450,400,-9999,-9999,-9999,68,61,54,-9999,-9999,-9999,0,0,0,-9999,-9999,-9999
20060923,dahl,4120,10,6,4533,0,0,1183,303,283,1484,2,2,241,206,200,445,2,2,0,0,0,0,0,0
20060924,Dahl,4419,13,13,4830,5,5,856,160,152,1016,0,0,247,187,185,434,0,0,43,138,137,181,0,0
20060925,Groenemeijer,4281,7,4,4691,0,0,1301,83,61,1384,0,0,152,239,227,391,0,0,0,0,0,0,0,0
20060926,VAN DER VELDE,5330,26,13,-9999,-9999,-9999,381,32,23,-9999,-9999,-9999,148,146,123,-9999,-9999,-9999,0,0,0,-9999,-9999,-9999
20060927,dahl,5065,95,66,-9999,-9999,-9999,542,239,189,-9999,-9999,-9999,84,38,26,-9999,-9999,-9999,0,0,0,-9999,-9999,-9999
20060928,dahl,5116,159,106,5678,0,0,382,218,193,600,0,0,53,135,126,188,0,0,0,0,0,0,0,0
20060929,TUSCHY,3336,91,54,3829,0,0,1835,460,395,2294,2,2,279,62,46,338,3,3,0,0,0,0,0,0
20060930,Groenemeijer,4003,17,11,4423,0,0,1389,571,515,1956,4,4,45,38,36,83,0,0,0,0,0,0,0,0
20061001,dahl,4074,9,6,4486,0,0,1202,548,516,1747,3,4,180,50,49,225,5,6,0,0,0,0,0,0
20061002,Groenemeijer,3947,91,75,4440,1,1,1611,377,332,1986,2,2,31,6,5,37,0,0,0,0,0,0,0,0
20061003,VAN DER VELDE,5060,117,54,5579,1,1,320,143,109,462,1,1,256,111,96,365,2,2,26,30,27,52,4,5
20061004,Gatzen,4095,34,15,4532,0,0,1209,277,218,1484,2,2,217,231,203,448,0,0,0,0,0,0,0,0
20061005,Gatzen,4640,109,84,5152,0,0,940,280,240,1219,1,1,43,51,46,93,1,1,0,0,0,0,0,0
20061006,TUSCHY,3644,62,51,4109,0,0,1758,161,99,1918,1,1,349,89,72,437,1,1,0,0,0,0,0,0
20061007,dahl,4540,26,17,4969,0,0,1240,112,86,1352,0,0,78,67,57,145,0,0,0,0,0,0,0,0
20061008,VAN DER VELDE,5010,43,33,5456,0,0,680,330,309,1010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20061009,Groenemeijer,4959,10,10,5371,1,1,800,294,292,1094,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20061011,Gatzen,5199,40,37,5642,0,0,454,339,333,793,0,0,14,17,17,30,1,1,0,0,0,0,0,0
20061012,Gatzen,5427,58,45,5888,0,0,349,168,145,517,0,0,17,44,44,61,0,0,0,0,0,0,0,0
20061013,TUSCHY,5039,28,24,-9999,-9999,-9999,729,267,254,-9999,-9999,-9999,0,0,0,-9999,-9999,-9999,0,0,0,-9999,-9999,-9999
20061014,VAN DER VELDE,5534,50,45,5987,0,0,289,190,185,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20061015,VAN DER VELDE,5353,67,58,-9999,-9999,-9999,410,125,116,-9999,-9999,-9999,46,62,59,-9999,-9999,-9999,0,0,0,-9999,-9999,-9999
20061016,VAN DER VELDE,5060,65,52,-9999,-9999,-9999,579,168,133,-9999,-9999,-9999,116,75,63,-9999,-9999,-9999,0,0,0,-9999,-9999,-9999
20061017,VAN DER VELDE,5046,34,24,-9999,-9999,-9999,584,163,147,-9999,-9999,-9999,109,111,102,-9999,-9999,-9999,0,16,16,-9999,-9999,-9999
20061018,Gatzen,4821,76,70,5299,1,1,487,202,175,689,0,0,273,204,187,474,3,3,0,0,0,0,0,0
20061019,Gatzen,4965,113,94,5479,2,2,580,243,218,822,1,1,126,36,34,162,0,0,0,0,0,0,0,0
20061020,dahl,4479,56,29,4938,0,0,1282,246,168,1527,1,1,0,0,0,0,0,0,0,0,0,0,0,0
